Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Fredrikstad,0.60,3.53,-2.93,0.53,2.03,-1.50,0.08,1.49,-1.41,0.60,3.53,-2.93,0,4,-4,-1.07,56.40,54.97,49.88,0.28,0.66,344,9,6,16,21.43,24.24,22.88,3,5,14,2,4,124.8,51.11,49.67,25.65,47.39,18.23,0,Tromsø 4-0 Fredrikstad,2026-03-15
Tromsø,3.53,0.60,2.93,2.03,0.53,1.50,1.49,0.08,1.41,3.53,0.60,2.93,4,0,4,1.07,43.60,45.03,51.51,0.66,0.28,290,17,16,6,24.24,21.43,26.58,5,3,20,6,12,119.4,48.89,144.0,74.35,212.53,81.77,0,Tromsø 4-0 Fredrikstad,2026-03-15
Lillestrøm,4.00,1.88,2.12,3.23,1.67,1.56,0.01,0.21,-0.20,3.24,1.88,1.36,3,1,2,-0.12,58.00,63.73,53.14,1.09,0.92,365,20,18,14,16.51,15.22,11.61,5,9,18,7,9,211.8,75.27,47.47,31.91,161.43,75.66,0,Aalesund 1-3 Lillestrøm,2026-03-15
Aalesund,1.88,4.00,-2.12,1.67,3.23,-1.56,0.21,0.01,0.20,1.88,3.24,-1.36,1,3,-2,0.12,42.00,36.27,47.52,0.92,1.09,213,10,14,18,15.22,16.51,18.17,9,5,15,3,12,69.6,24.73,101.27,68.09,51.93,24.34,0,Aalesund 1-3 Lillestrøm,2026-03-15
Sandefjord,2.38,2.19,0.19,1.26,2.09,-0.83,0.36,0.11,0.25,1.62,2.19,-0.57,0,1,-1,-1.19,57.40,53.19,51.27,1.4,0.94,323,24,17,12,12.14,12.77,11.79,3,7,27,7,7,143.7,62.02,16.67,13.9,93.53,34.35,1,Vålerenga 1-0 Sandefjord,2026-03-15
Vålerenga,2.19,2.38,-0.19,2.09,1.26,0.83,0.11,0.36,-0.25,2.19,1.62,0.57,1,0,1,1.19,42.60,46.81,51.66,0.94,1.4,227,22,12,17,12.77,12.14,14.89,7,3,24,7,11,88.0,37.98,103.27,86.1,178.73,65.65,2,Vålerenga 1-0 Sandefjord,2026-03-15
Start,0.34,2.30,-1.96,0.34,2.27,-1.93,0.00,0.03,-0.03,0.34,2.30,-1.96,0,2,-2,-0.04,40.90,37.84,44.89,0.35,0.97,169,9,5,16,14.29,16.49,12.83,2,7,15,2,13,48.5,19.19,74.07,74.82,50.9,21.82,6,KFUM 2-0 Start,2026-03-15
KFUM,2.30,0.34,1.96,2.27,0.34,1.93,0.03,0.00,0.03,2.30,0.34,1.96,2,0,2,0.04,59.10,62.16,54.09,0.97,0.35,347,14,16,5,16.49,14.29,8.26,7,2,21,4,13,204.3,80.81,24.93,25.18,182.33,78.18,1,KFUM 2-0 Start,2026-03-15
Brann,2.86,3.18,-0.32,2.01,2.25,-0.24,0.09,0.16,-0.07,2.10,2.42,-0.32,2,3,-1,-0.68,63.60,67.42,53.19,0.66,0.8,297,28,15,18,22.73,22.5,6.74,3,2,28,11,13,172.3,76.1,8.53,8.65,112.97,54.88,4,Kristiansund 3-2 Brann,2026-03-15
Kristiansund,3.18,2.86,0.32,2.25,2.01,0.24,0.16,0.09,0.07,2.42,2.10,0.32,3,2,1,0.68,36.40,32.58,48.36,0.8,0.66,156,13,18,15,22.5,22.73,14.04,2,3,17,6,12,54.1,23.9,90.13,91.35,92.87,45.12,2,Kristiansund 3-2 Brann,2026-03-15
Rosenborg,1.25,1.80,-0.55,1.14,1.60,-0.46,0.11,0.20,-0.09,1.25,1.80,-0.55,0,2,-2,-1.45,38.90,37.3,44.71,0.6,1.1,150,11,9,13,15.0,11.82,12.89,1,11,13,4,13,41.7,24.02,105.0,87.21,62.9,29.62,3,Molde 2-0 Rosenborg,2026-03-14
Molde,1.80,1.25,0.55,1.60,1.14,0.46,0.20,0.11,0.09,1.80,1.25,0.55,2,0,2,1.45,61.10,62.7,48.64,1.1,0.6,283,15,13,9,11.82,15.0,7.62,11,1,16,5,14,131.9,75.98,15.4,12.79,149.47,70.38,0,Molde 2-0 Rosenborg,2026-03-14
Viking,2.13,1.62,0.51,1.50,1.14,0.36,0.63,0.47,0.16,2.13,1.62,0.51,1,2,-1,-1.51,61.00,70.59,52.51,1.2,0.4,328,26,18,11,15.0,27.5,7.95,7,4,35,11,14,220.3,83.16,22.47,20.32,154.17,68.17,4,HamKam 2-1 Viking,2026-03-14
HamKam,1.62,2.13,-0.51,1.14,1.50,-0.36,0.47,0.63,-0.16,1.62,2.13,-0.51,2,1,1,1.51,39.00,29.41,38.25,0.4,1.2,101,12,11,18,27.5,15.0,13.27,4,7,15,6,14,44.6,16.84,88.13,79.68,71.97,31.83,0,HamKam 2-1 Viking,2026-03-14
