Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Renofa Yamaguchi,2.34,0.47,1.87,1.35,0.3,1.05,0.23,0.17,0.06,1.58,0.47,1.11,1,1,0,-1.87,54.3,52.54,45.62,1.55,0.46,205,16,16,9,10.32,19.57,14.52,4,1,21,7,12,105.1,70.07,36.33,37.59,100.33,61.01,0,Ryūkyū 1-1 Renofa Yamaguchi,2026-03-14
Ryūkyū,0.47,2.34,-1.87,0.3,1.35,-1.05,0.17,0.23,-0.06,0.47,1.58,-1.11,1,1,0,1.87,45.7,47.46,45.2,0.46,1.55,175,11,9,16,19.57,10.32,27.07,1,4,16,6,4,44.9,29.93,60.33,62.41,64.13,38.99,4,Ryūkyū 1-1 Renofa Yamaguchi,2026-03-14
Oita Trinita,1.46,1.24,0.22,0.73,0.96,-0.23,0.73,0.28,0.45,1.46,1.24,0.22,0,1,-1,-1.22,53.6,58.33,47.22,0.91,0.5,248,13,9,11,9.89,22.0,16.81,2,5,17,8,13,118.8,54.7,36.67,26.03,72.9,33.95,1,Tegevajaro Miyazaki 1-0 Oita Trinita,2026-03-14
Tegevajaro Miyazaki,1.24,1.46,-0.22,0.96,0.73,0.23,0.28,0.73,-0.45,1.24,1.46,-0.22,1,0,1,1.22,46.4,41.67,46.38,0.5,0.91,188,14,11,9,22.0,9.89,14.11,5,2,16,5,9,98.4,45.3,104.2,73.97,141.83,66.05,1,Tegevajaro Miyazaki 1-0 Oita Trinita,2026-03-14
Giravanz Kitakyushu,0.29,0.77,-0.48,0.29,0.68,-0.39,0.0,0.08,-0.08,0.29,0.77,-0.48,0,1,-1,-0.52,33.2,32.7,47.29,0.29,0.77,114,3,4,15,13.79,19.48,17.04,2,3,10,1,9,33.1,16.82,97.13,83.12,44.53,26.43,0,Sagan Tosu 1-0 Giravanz Kitakyushu,2026-03-14
Sagan Tosu,0.77,0.29,0.48,0.68,0.29,0.39,0.08,0.0,0.08,0.77,0.29,0.48,1,0,1,0.52,66.8,67.3,48.67,0.77,0.29,253,10,15,4,19.48,13.79,9.09,3,2,32,10,11,163.7,83.18,19.73,16.88,123.93,73.57,1,Sagan Tosu 1-0 Giravanz Kitakyushu,2026-03-14
Albirex Niigata,0.67,0.4,0.27,0.6,0.36,0.24,0.07,0.03,0.04,0.67,0.4,0.27,0,0,0,-0.27,44.6,57.24,48.07,0.5,0.59,176,10,6,6,12.0,10.17,11.38,1,7,21,8,12,112.0,66.87,86.07,84.82,169.6,79.99,0,Nara Club 0-0 Albirex Niigata,2026-03-14
Nara Club,0.4,0.67,-0.27,0.36,0.6,-0.24,0.03,0.07,-0.04,0.4,0.67,-0.27,0,0,0,0.27,55.4,42.76,41.65,0.59,0.5,179,9,6,6,10.17,12.0,9.97,7,1,14,1,7,55.5,33.13,15.4,15.18,42.43,20.01,0,Nara Club 0-0 Albirex Niigata,2026-03-14
Consadole Sapporo,1.16,0.28,0.88,1.08,0.28,0.8,0.08,0.0,0.08,1.16,0.28,0.88,1,0,1,0.12,55.2,65.75,46.44,0.87,0.3,207,10,12,8,13.79,26.67,10.03,5,6,25,3,16,130.8,79.51,35.8,37.76,128.13,70.34,0,Júbilo Iwata 0-1 Consadole Sapporo,2026-03-14
Júbilo Iwata,0.28,1.16,-0.88,0.28,1.08,-0.8,0.0,0.08,-0.08,0.28,1.16,-0.88,0,1,-1,-0.12,44.8,34.25,39.03,0.3,0.87,121,4,8,12,26.67,13.79,10.15,6,5,8,1,14,33.7,20.49,59.0,62.24,54.03,29.66,2,Júbilo Iwata 0-1 Consadole Sapporo,2026-03-14
Matsumoto Yamaga,4.85,0.49,4.36,3.17,0.49,2.68,1.68,0.0,1.68,4.85,0.49,4.36,5,0,5,0.64,45.2,49.85,47.63,1.06,0.33,159,18,26,6,24.53,18.18,10.97,9,4,20,6,7,138.0,71.47,37.13,69.27,216.23,95.42,2,Nagano Parceiro 0-5 Matsumoto Yamaga,2026-03-14
Nagano Parceiro,0.49,4.85,-4.36,0.49,3.17,-2.68,0.0,1.68,-1.68,0.49,4.85,-4.36,0,5,-5,-0.64,54.8,50.15,45.92,0.33,1.06,179,7,6,26,18.18,24.53,9.69,4,9,12,4,11,55.1,28.53,16.47,30.73,10.37,4.58,1,Nagano Parceiro 0-5 Matsumoto Yamaga,2026-03-14
