Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Erzgebirge Aue,1.75,2.69,-0.94,1.59,2.60,-1.01,0.16,0.09,0.07,1.75,2.69,-0.94,0,2,-2,-1.06,56.60,57.71,44.17,0.85,0.54,214,12,16,13,18.82,24.07,14.88,4,2,20,6,8,117.8,60.38,46.93,39.62,62.2,39.95,4,Erzgebirge Aue 0-2 Waldhof Mannheim,2025-10-17
Stuttgart II,2.74,2.56,0.18,1.60,1.76,-0.16,0.38,0.03,0.35,1.98,1.80,0.18,3,1,2,1.82,46.70,47.45,43.65,0.77,0.64,158,16,14,20,18.18,31.25,17.50,3,3,11,5,16,91.3,47.9,63.93,51.53,120.3,62.07,2,Hoffenheim II 1-3 Stuttgart II,2025-10-05
Hoffenheim II,2.56,2.74,-0.18,1.76,1.60,0.16,0.03,0.38,-0.35,1.80,1.98,-0.18,1,3,-2,-1.82,53.30,52.55,43.65,0.64,0.77,177,13,20,14,31.25,18.18,15.70,3,3,19,5,11,99.3,52.1,60.13,48.47,73.5,37.93,1,Hoffenheim II 1-3 Stuttgart II,2025-10-05
1860 München,0.79,2.56,-1.77,0.30,2.19,-1.89,0.49,0.37,0.12,0.79,2.56,-1.77,0,1,-1,0.77,56.60,47.47,41.98,0.47,0.6,205,11,13,23,27.66,38.33,10.83,5,4,19,7,9,72.8,32.81,23.73,17.92,37.73,15.89,3,Wehen Wiesbaden 1-0 1860 München,2025-10-05
Wehen Wiesbaden,2.56,0.79,1.77,2.19,0.30,1.89,0.37,0.49,-0.12,2.56,0.79,1.77,1,0,1,-0.77,43.40,52.53,46.68,0.6,0.47,196,16,23,13,38.33,27.66,23.00,4,5,26,8,12,149.1,67.19,108.67,82.08,199.77,84.11,3,Wehen Wiesbaden 1-0 1860 München,2025-10-05
Rot-Weiss Essen,0.96,0.44,0.52,0.83,0.38,0.45,0.13,0.06,0.07,0.96,0.44,0.52,2,2,0,-0.52,55.40,56.25,50.23,0.88,0.42,258,12,20,10,22.73,23.81,11.96,7,4,32,10,10,134.4,64.71,28.93,29.68,96.97,52.15,5,Erzgebirge Aue 2-2 Rot-Weiss Essen,2025-10-05
Erzgebirge Aue,0.44,0.96,-0.52,0.38,0.83,-0.45,0.06,0.13,-0.07,0.44,0.96,-0.52,2,2,0,0.52,44.60,43.75,48.21,0.42,0.88,174,9,10,20,23.81,22.73,14.20,4,7,11,3,8,73.3,35.29,68.53,70.32,88.97,47.85,4,Erzgebirge Aue 2-2 Rot-Weiss Essen,2025-10-05
Alemannia Aachen,2.95,2.23,0.72,2.19,1.30,0.89,0.00,0.17,-0.17,2.19,1.47,0.72,2,3,-1,-1.72,42.90,48.33,45.75,0.59,0.94,151,12,14,11,23.73,11.7,10.15,4,2,20,6,15,92.2,57.37,67.67,73.82,117.7,78.24,2,Energie Cottbus 3-2 Alemannia Aachen,2025-10-04
Energie Cottbus,2.23,2.95,-0.72,1.30,2.19,-0.89,0.17,0.00,0.17,1.47,2.19,-0.72,3,2,1,1.72,57.10,51.67,41.89,0.94,0.59,173,11,11,14,11.7,23.73,9.42,2,4,17,5,15,68.5,42.63,24.0,26.18,32.73,21.76,0,Energie Cottbus 3-2 Alemannia Aachen,2025-10-04
Verl,1.74,1.78,-0.04,1.46,1.74,-0.28,0.27,0.04,0.23,1.74,1.78,-0.04,2,1,1,1.04,74.40,77.93,56.12,0.93,0.07,395,17,20,12,21.51,171.43,5.09,6,2,32,10,13,293.6,96.26,13.33,8.54,179.83,85.88,1,Schweinfurt 1-2 Verl,2025-10-04
