Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Loudoun United,0.42,2.72,-2.3,0.42,2.51,-2.09,0.0,0.21,-0.21,0.42,2.72,-2.3,1,3,-2,0.3,46.0,42.7,45.24,0.31,1.28,160,7,6,22,19.35,17.19,12.3,4,5,10,3,11,15.0,9.51,51.0,53.12,13.9,9.32,1,Tampa Bay Rowdies 3-1 Loudoun United,2026-03-28
Tampa Bay Rowdies,2.72,0.42,2.3,2.51,0.42,2.09,0.21,0.0,0.21,2.72,0.42,2.3,3,1,2,-0.3,54.0,57.3,45.86,1.28,0.31,186,23,22,6,17.19,19.35,9.31,5,4,27,8,14,142.8,90.49,45.0,46.88,135.2,90.68,6,Tampa Bay Rowdies 3-1 Loudoun United,2026-03-28
Louisville City,1.14,0.46,0.68,1.03,0.13,0.9,0.11,0.34,-0.23,1.14,0.46,0.68,1,0,1,0.32,47.3,57.14,49.04,0.67,0.64,209,10,14,7,20.9,10.94,10.26,6,0,22,9,16,113.4,66.28,70.73,88.35,136.8,77.82,4,Brooklyn 0-1 Louisville City,2026-03-28
Brooklyn,0.46,1.14,-0.68,0.13,1.03,-0.9,0.34,0.11,0.23,0.46,1.14,-0.68,0,1,-1,-0.32,52.7,42.86,43.96,0.64,0.67,178,13,7,14,10.94,20.9,12.2,0,6,16,4,8,57.7,33.72,9.33,11.65,39.0,22.18,3,Brooklyn 0-1 Louisville City,2026-03-28
Rhode Island,2.83,2.45,0.38,2.62,2.45,0.17,0.22,0.0,0.22,2.83,2.45,0.38,1,2,-1,-1.38,59.5,73.28,46.9,0.62,0.31,246,12,20,9,32.26,29.03,8.3,4,2,22,6,16,162.4,91.08,25.87,30.58,132.1,76.85,0,Miami 2-1 Rhode Island,2026-03-28
Miami,2.45,2.83,-0.38,2.45,2.62,-0.17,0.0,0.22,-0.22,2.45,2.83,-0.38,2,1,1,1.38,40.5,26.72,37.11,0.31,0.62,82,4,9,20,29.03,32.26,12.14,2,4,6,0,19,15.9,8.92,58.73,69.42,39.8,23.15,0,Miami 2-1 Rhode Island,2026-03-28
Sporting JAX,1.37,2.34,-0.97,1.2,1.15,0.05,0.17,0.43,-0.26,1.37,1.58,-0.21,2,3,-1,-0.03,60.0,54.28,42.15,1.04,0.32,203,14,10,9,9.62,28.12,10.97,2,1,18,4,14,91.3,68.6,12.67,13.08,39.2,27.98,0,Pittsburgh Riverhounds 3-2 Sporting JAX,2026-03-28
Pittsburgh Riverhounds,2.34,1.37,0.97,1.15,1.2,-0.05,0.43,0.17,0.26,1.58,1.37,0.21,3,2,1,0.03,40.0,45.72,46.76,0.32,1.04,160,5,9,10,28.12,9.62,17.0,1,2,11,4,12,41.8,31.4,84.2,86.92,100.89,72.02,1,Pittsburgh Riverhounds 3-2 Sporting JAX,2026-03-28
Indy Eleven,2.03,1.81,0.22,2.03,1.5,0.53,0.0,0.32,-0.32,2.03,1.81,0.22,2,2,0,-0.22,36.5,44.1,50.46,1.32,0.93,167,12,10,11,7.58,11.83,14.83,5,1,24,2,15,71.0,38.97,101.0,95.53,107.6,71.1,8,Hartford Athletic 2-2 Indy Eleven,2026-03-28
Hartford Athletic,1.81,2.03,-0.22,1.5,2.03,-0.53,0.32,0.0,0.32,1.81,2.03,-0.22,2,2,0,0.22,63.5,55.9,48.44,0.93,1.32,263,11,11,10,11.83,7.58,9.46,1,5,24,5,8,111.2,61.03,4.73,4.47,43.73,28.9,3,Hartford Athletic 2-2 Indy Eleven,2026-03-28
Charleston Battery,0.2,1.12,-0.92,0.11,0.97,-0.86,0.1,0.15,-0.05,0.2,1.12,-0.92,0,1,-1,-0.08,54.7,49.63,45.26,0.48,1.34,172,9,4,13,8.33,9.7,12.32,2,5,13,6,12,65.4,38.11,31.07,29.11,38.3,23.43,0,Detroit City 1-0 Charleston Battery,2026-03-28
Detroit City,1.12,0.2,0.92,0.97,0.11,0.86,0.15,0.1,0.05,1.12,0.2,0.92,1,0,1,0.08,45.3,50.37,49.01,1.34,0.48,175,9,13,4,9.7,8.33,11.12,5,2,20,8,16,106.2,61.89,75.67,70.89,125.2,76.57,0,Detroit City 1-0 Charleston Battery,2026-03-28
Colorado Springs,2.43,3.04,-0.61,0.89,3.02,-2.13,0.02,0.02,0.0,0.91,3.04,-2.13,2,3,-1,-0.39,49.9,47.87,44.48,0.72,0.75,120,12,14,16,19.44,21.33,7.73,3,3,17,5,15,63.4,44.55,42.67,64.58,75.43,52.71,6,New Mexico United 3-2 Colorado Springs,2026-03-28
New Mexico United,3.04,2.43,0.61,3.02,0.89,2.13,0.02,0.02,0.0,3.04,0.91,2.13,3,2,1,0.39,50.1,52.13,43.17,0.75,0.72,117,14,16,14,21.33,19.44,9.63,3,3,17,7,13,78.9,55.45,23.4,35.42,67.67,47.29,1,New Mexico United 3-2 Colorado Springs,2026-03-28
Miami,2.68,4.07,-1.39,1.92,2.85,-0.93,0.0,0.46,-0.46,1.92,3.31,-1.39,4,2,2,3.39,49.4,39.6,41.33,0.78,0.94,140,9,12,15,15.38,15.96,13.75,1,6,15,4,13,34.3,30.22,51.6,60.51,52.5,39.6,1,Sporting JAX 2-4 Miami,2026-03-25
Sporting JAX,4.07,2.68,1.39,2.85,1.92,0.93,0.46,0.0,0.46,3.31,1.92,1.39,2,4,-2,-3.39,50.6,60.4,45.35,0.94,0.78,176,11,15,12,15.96,15.38,9.02,6,1,31,8,17,79.2,69.78,33.67,39.49,80.07,60.4,0,Sporting JAX 2-4 Miami,2026-03-25
Brooklyn,0.78,2.41,-1.63,0.78,1.48,-0.7,0.0,0.93,-0.93,0.78,2.41,-1.63,0,3,-3,-1.37,40.4,54.04,51.37,0.55,0.74,206,9,10,20,18.18,27.03,15.1,2,1,12,2,21,89.2,46.22,129.13,91.76,180.23,68.0,1,Lexington 3-0 Brooklyn,2026-03-25
Lexington,2.41,0.78,1.63,1.48,0.78,0.7,0.93,0.0,0.93,2.41,0.78,1.63,3,0,3,1.37,59.6,45.96,39.52,0.74,0.55,150,10,20,10,27.03,18.18,7.28,1,2,10,4,11,103.8,53.78,11.6,8.24,84.81,32.0,0,Lexington 3-0 Brooklyn,2026-03-25
Monterey Bay,2.4,1.62,0.78,1.64,1.62,0.02,0.0,0.0,0.0,1.64,1.62,0.02,1,1,0,-0.78,41.7,35.38,39.58,0.58,0.87,123,6,12,9,20.69,10.34,13.0,5,5,11,0,16,51.7,26.84,64.53,65.94,62.87,31.4,1,Sacramento Republic 1-1 Monterey Bay,2026-03-21
Sacramento Republic,1.62,2.4,-0.78,1.62,1.64,-0.02,0.0,0.0,0.0,1.62,1.64,-0.02,1,1,0,0.78,58.3,64.62,45.71,0.87,0.58,232,7,9,12,10.34,20.69,10.0,5,5,20,7,10,140.9,73.16,33.33,34.06,137.37,68.6,0,Sacramento Republic 1-1 Monterey Bay,2026-03-21
Oakland Roots,3.06,1.06,2.0,2.98,0.67,2.31,0.08,0.39,-0.31,3.06,1.06,2.0,2,2,0,-2.0,53.1,51.97,46.0,0.85,0.81,189,18,16,11,18.82,13.58,11.65,0,7,15,4,14,123.4,62.01,45.13,44.66,129.8,78.52,0,Phoenix Rising 2-2 Oakland Roots,2026-03-21
Phoenix Rising,1.06,3.06,-2.0,0.67,2.98,-2.31,0.39,0.08,0.31,1.06,3.06,-2.0,2,2,0,2.0,46.9,48.03,45.37,0.81,0.85,153,13,11,16,13.58,18.82,10.11,7,0,26,5,15,75.6,37.99,55.93,55.34,35.5,21.48,0,Phoenix Rising 2-2 Oakland Roots,2026-03-21
Colorado Springs,1.07,0.81,0.26,1.05,0.81,0.24,0.02,0.0,0.02,1.07,0.81,0.26,0,1,-1,-1.26,48.6,61.4,48.14,0.69,0.3,202,12,12,5,17.39,16.67,8.13,12,1,33,7,16,119.4,67.31,69.33,62.65,143.1,72.6,10,Orange County SC 1-0 Colorado Springs,2026-03-21
Orange County SC,0.81,1.07,-0.26,0.81,1.05,-0.24,0.0,0.02,-0.02,0.81,1.07,-0.26,1,0,1,1.26,51.4,38.6,40.99,0.3,0.69,147,4,5,12,16.67,17.39,15.2,1,12,13,4,13,58.0,32.69,41.33,37.35,54.0,27.4,0,Orange County SC 1-0 Colorado Springs,2026-03-21
New Mexico United,0.64,1.84,-1.2,0.61,1.55,-0.94,0.03,0.3,-0.27,0.64,1.84,-1.2,0,1,-1,0.2,47.0,39.43,45.66,0.3,0.62,147,8,10,20,33.33,32.26,8.62,3,5,10,1,16,50.5,25.73,52.07,62.58,56.93,29.77,0,San Antonio 1-0 New Mexico United,2026-03-21
San Antonio,1.84,0.64,1.2,1.55,0.61,0.94,0.3,0.03,0.27,1.84,0.64,1.2,1,0,1,-0.2,53.0,60.57,46.34,0.62,0.3,168,15,20,10,32.26,33.33,7.78,5,3,19,9,16,145.8,74.27,31.13,37.42,134.3,70.23,2,San Antonio 1-0 New Mexico United,2026-03-21
Las Vegas Lights,0.79,1.56,-0.77,0.46,1.43,-0.97,0.33,0.13,0.2,0.79,1.56,-0.77,2,3,-1,-0.23,63.9,68.42,46.09,0.72,0.54,218,15,10,12,13.89,22.22,7.21,2,4,28,6,15,139.6,77.38,9.47,9.01,86.93,54.93,2,FC Tulsa 3-2 Las Vegas Lights,2026-03-21
FC Tulsa,1.56,0.79,0.77,1.43,0.46,0.97,0.13,0.33,-0.2,1.56,0.79,0.77,3,2,1,0.23,36.1,31.58,45.75,0.54,0.72,116,10,12,10,22.22,13.89,15.2,4,2,13,4,10,40.8,22.62,95.67,90.99,71.33,45.07,4,FC Tulsa 3-2 Las Vegas Lights,2026-03-21
Pittsburgh Riverhounds,0.32,2.72,-2.4,0.32,2.52,-2.2,0.0,0.2,-0.2,0.32,2.72,-2.4,0,3,-3,-0.6,55.1,42.13,41.85,0.36,0.87,168,2,2,17,5.56,19.54,11.0,5,6,12,3,6,26.4,17.09,18.93,18.55,15.73,6.71,0,Tampa Bay Rowdies 3-0 Pittsburgh Riverhounds,2026-03-21
Tampa Bay Rowdies,2.72,0.32,2.4,2.52,0.32,2.2,0.2,0.0,0.2,2.72,0.32,2.4,3,0,3,0.6,44.9,57.87,46.99,0.87,0.36,179,16,17,2,19.54,5.56,15.09,6,5,20,4,15,128.1,82.91,83.13,81.45,218.7,93.29,5,Tampa Bay Rowdies 3-0 Pittsburgh Riverhounds,2026-03-21
Birmingham Legion,1.57,6.08,-4.51,1.53,3.49,-1.96,0.03,1.84,-1.81,1.57,5.32,-3.75,2,3,-1,3.51,43.5,34.38,45.4,0.31,2.13,178,6,12,28,38.71,13.15,19.11,3,7,7,4,6,66.0,20.53,61.73,67.05,81.0,37.1,0,Charleston Battery 3-2 Birmingham Legion,2026-03-21
Charleston Battery,6.08,1.57,4.51,3.49,1.53,1.96,1.84,0.03,1.81,5.32,1.57,3.75,3,2,1,-3.51,56.5,65.62,52.89,2.13,0.31,298,33,28,12,13.15,38.71,8.87,7,3,40,8,19,255.5,79.47,30.33,32.95,137.3,62.9,0,Charleston Battery 3-2 Birmingham Legion,2026-03-21
Hartford Athletic,1.38,3.49,-2.11,1.11,3.3,-2.19,0.26,0.19,0.07,1.38,3.49,-2.11,2,1,1,3.11,30.3,31.74,41.88,0.52,1.5,99,9,10,26,19.23,17.33,13.82,2,5,8,4,16,11.2,5.07,122.07,93.85,57.17,40.33,1,Brooklyn 1-2 Hartford Athletic,2026-03-21
Brooklyn,3.49,1.38,2.11,3.3,1.11,2.19,0.19,0.26,-0.07,3.49,1.38,2.11,1,2,-1,-3.11,69.7,68.26,50.5,1.5,0.52,321,20,26,10,17.33,19.23,6.43,5,2,34,11,11,209.6,94.93,8.0,6.15,84.6,59.67,1,Brooklyn 1-2 Hartford Athletic,2026-03-21
