Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-29,8,Osaka 0-0 Albirex Niigata,Osaka,Albirex Niigata,dravffoq2eoiy7a4unvr5djpw,83z0uiur22b9v5xqn7kx7le6s
2026-03-29,8,Kataller Toyama 1-1 Imabari,Kataller Toyama,Imabari,dravffoq2eoiy7a4unvr5djpw,83faepa4jq9wucd9crc0jtyc4
2026-03-29,8,Iwaki 1-0 Júbilo Iwata,Iwaki,Júbilo Iwata,dravffoq2eoiy7a4unvr5djpw,6owb8yq32o67fzpkiifnkxqtw
2026-03-29,8,Fukushima United 1-3 Matsumoto Yamaga,Fukushima United,Matsumoto Yamaga,dravffoq2eoiy7a4unvr5djpw,6od2361x6srf7mom451yhp9n8
2026-03-29,8,Montedio Yamagata 1-2 Tochigi City,Montedio Yamagata,Tochigi City,dravffoq2eoiy7a4unvr5djpw,59xqwiav2d2d143ruf1lohfro
2026-03-29,8,Blaublitz Akita 0-0 Vegalta Sendai,Blaublitz Akita,Vegalta Sendai,dravffoq2eoiy7a4unvr5djpw,59dhp0eo8tu7s7nwg79xa9vkk
2026-03-29,8,Roasso Kumamoto 0-1 Kagoshima United,Roasso Kumamoto,Kagoshima United,dravffoq2eoiy7a4unvr5djpw,9ku7dbdykm1q448t19wa9da8k
2026-03-29,8,Vanraure Hachinohe 2-2 Sagamihara,Vanraure Hachinohe,Sagamihara,dravffoq2eoiy7a4unvr5djpw,58ubh6kf85vd07qo0aklolqms
2026-03-28,8,Nara Club 5-1 Zweigen Kanazawa,Nara Club,Zweigen Kanazawa,dravffoq2eoiy7a4unvr5djpw,84i2304y4ytcctxubsgte4rh0
2026-03-28,8,Gifu 5-1 Nagano Parceiro,Gifu,Nagano Parceiro,dravffoq2eoiy7a4unvr5djpw,6qiy90645h2dp3ytorzasjevo
2026-03-28,8,Fujieda MYFC 1-1 Consadole Sapporo,Fujieda MYFC,Consadole Sapporo,dravffoq2eoiy7a4unvr5djpw,6pyl085yv4jq4syd7m6scu2vo
2026-03-28,8,Ventforet Kofu 2-1 Omiya Ardija,Ventforet Kofu,Omiya Ardija,dravffoq2eoiy7a4unvr5djpw,6pf9gengggv6gyrea0yhln8yc
2026-03-28,8,Yokohama 1-3 Shonan Bellmare,Yokohama,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,5b6b9khifvg08998qi9ov87bo
2026-03-28,8,Thespa Gunma 1-3 Tochigi,Thespa Gunma,Tochigi,dravffoq2eoiy7a4unvr5djpw,5aif2ixpu2xkj3iyhfguogg7o
2026-03-22,7,Reilac Shiga 0-2 Sagan Tosu,Reilac Shiga,Sagan Tosu,dravffoq2eoiy7a4unvr5djpw,9fxa3kjy7fb5l3qvt1xbwmvpw
2026-03-22,7,Renofa Yamaguchi 0-1 Giravanz Kitakyushu,Renofa Yamaguchi,Giravanz Kitakyushu,dravffoq2eoiy7a4unvr5djpw,9gzsmtcty2mt059duyn2njsic
2026-03-22,7,Gainare Tottori 0-0 Kagoshima United,Gainare Tottori,Kagoshima United,dravffoq2eoiy7a4unvr5djpw,9ggj0w3uwseby47uf6b9lucyc
2026-03-22,7,Imabari 2-1 Tokushima Vortis,Imabari,Tokushima Vortis,dravffoq2eoiy7a4unvr5djpw,82ubte3j550g2kercp6uot9n8
2026-03-22,7,Ehime 1-0 Kochi United,Ehime,Kochi United,dravffoq2eoiy7a4unvr5djpw,825uktt51066h9ikqev403w9g
2026-03-22,7,Kamatamare Sanuki 3-1 Nara Club,Kamatamare Sanuki,Nara Club,dravffoq2eoiy7a4unvr5djpw,81mld2q5bxrhia7gug0uqv6s4
2026-03-22,7,Zweigen Kanazawa 0-0 Osaka,Zweigen Kanazawa,Osaka,dravffoq2eoiy7a4unvr5djpw,8138gg45ju6u4d2f4h9o0c26s
2026-03-22,7,Tochigi 3-2 Tochigi City,Tochigi,Tochigi City,dravffoq2eoiy7a4unvr5djpw,578wpjx8phhqkq7rgczdd5qfo
2026-03-22,7,Montedio Yamagata 0-1 Vegalta Sendai,Montedio Yamagata,Vegalta Sendai,dravffoq2eoiy7a4unvr5djpw,56pppwycew546zg2hz5nbgxsk
2026-03-21,7,Tegevajaro Miyazaki 1-0 Roasso Kumamoto,Tegevajaro Miyazaki,Roasso Kumamoto,dravffoq2eoiy7a4unvr5djpw,9i23wer5zsx1mkyoesizpn6l0
2026-03-21,7,Oita Trinita 2-3 Ryūkyū,Oita Trinita,Ryūkyū,dravffoq2eoiy7a4unvr5djpw,9hivg5x2pn4yvey4rphqnmyac
2026-03-21,7,Júbilo Iwata 1-4 Omiya Ardija,Júbilo Iwata,Omiya Ardija,dravffoq2eoiy7a4unvr5djpw,6ntzvlerinrg8pvapp4gm32ms
2026-03-21,7,Nagano Parceiro 1-3 Iwaki,Nagano Parceiro,Iwaki,dravffoq2eoiy7a4unvr5djpw,6na8yzsdx6kfhcuujyrx9uln8
2026-03-21,7,Matsumoto Yamaga 2-2 Gifu,Matsumoto Yamaga,Gifu,dravffoq2eoiy7a4unvr5djpw,6mr0x0j6em9h397x229oh6ivo
2026-03-21,7,Fukushima United 3-3 Fujieda MYFC,Fukushima United,Fujieda MYFC,dravffoq2eoiy7a4unvr5djpw,6m5lg6rxqkkm3r8wycgar7kes
2026-03-21,7,Consadole Sapporo 1-0 Ventforet Kofu,Consadole Sapporo,Ventforet Kofu,dravffoq2eoiy7a4unvr5djpw,6lmi212nq8uso6qwyfa25jml0
2026-03-21,7,Sagamihara 2-4 Yokohama,Sagamihara,Yokohama,dravffoq2eoiy7a4unvr5djpw,58b7wisrfemyzsl67826p2xas
2026-03-21,7,Blaublitz Akita 1-0 Vanraure Hachinohe,Blaublitz Akita,Vanraure Hachinohe,dravffoq2eoiy7a4unvr5djpw,565o18z1561c6jntogy58lnh0
2026-03-20,7,Albirex Niigata 2-3 Kataller Toyama,Albirex Niigata,Kataller Toyama,dravffoq2eoiy7a4unvr5djpw,80k1vyini25y6z68gpnru43ro
2026-03-20,7,Thespa Gunma 0-2 Shonan Bellmare,Thespa Gunma,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,57s18f1o3arpgh54o0s85kq38
2026-03-15,6,Gifu 2-1 Fukushima United,Gifu,Fukushima United,dravffoq2eoiy7a4unvr5djpw,6l359bpomghdsr92jbkob4w0k
2026-03-15,6,Kagoshima United 1-0 Reilac Shiga,Kagoshima United,Reilac Shiga,dravffoq2eoiy7a4unvr5djpw,9ev5nxk35d9dpb9zjuo0yvg9g
2026-03-15,6,Ehime 0-1 Osaka,Ehime,Osaka,dravffoq2eoiy7a4unvr5djpw,7zetl7s9hcxgjnzclaysfrs44
2026-03-15,6,Tokushima Vortis 1-0 Kamatamare Sanuki,Tokushima Vortis,Kamatamare Sanuki,dravffoq2eoiy7a4unvr5djpw,7yvswbor57f11bi0lv07bkjdg
2026-03-15,6,Yokohama 3-0 Thespa Gunma,Yokohama,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,551rzv7anku7p7iqfklb4urdg
2026-03-15,6,Kataller Toyama 0-2 Zweigen Kanazawa,Kataller Toyama,Zweigen Kanazawa,dravffoq2eoiy7a4unvr5djpw,7xtfi00cfueg95qnob8ij2vbo
2026-03-15,6,Roasso Kumamoto 0-1 Gainare Tottori,Roasso Kumamoto,Gainare Tottori,dravffoq2eoiy7a4unvr5djpw,9dr640s0o6qfxlws2e1ki9xxw
2026-03-15,6,Blaublitz Akita 2-0 Tochigi,Blaublitz Akita,Tochigi,dravffoq2eoiy7a4unvr5djpw,54ii7ch1ehftsb6il9vv8f0us
2026-03-15,6,Vanraure Hachinohe 0-1 Tochigi City,Vanraure Hachinohe,Tochigi City,dravffoq2eoiy7a4unvr5djpw,53fg4kxuwxxdfopgy44wmpjpw
2026-03-14,6,Ryūkyū 1-1 Renofa Yamaguchi,Ryūkyū,Renofa Yamaguchi,dravffoq2eoiy7a4unvr5djpw,9fe7pcq23sblmbbapf3gxuo0k
2026-03-14,6,Tegevajaro Miyazaki 1-0 Oita Trinita,Tegevajaro Miyazaki,Oita Trinita,dravffoq2eoiy7a4unvr5djpw,9ea3iuzg798o0xpzliqannkes
2026-03-14,6,Sagan Tosu 1-0 Giravanz Kitakyushu,Sagan Tosu,Giravanz Kitakyushu,dravffoq2eoiy7a4unvr5djpw,9d7zyg8cbqina5tldo47be7tg
2026-03-14,6,Nara Club 0-0 Albirex Niigata,Nara Club,Albirex Niigata,dravffoq2eoiy7a4unvr5djpw,7ycs9grxgqqpzqbo7vcm0328k
